ID_QUESTAO,LABEL_QUESTAO,ENUNCIADO_QUESTAO,ALTERNATIVA_A,ALTERNATIVA_B,ALTERNATIVA_C,ALTERNATIVA_D,ALTERNATIVA_E
154,0,"TEXTO I
O mito da estiagem em São Paulo
Os estoques de água doce são inesgotáveis, na medida em que são alimentados
principalmente pelos oceanos, infinitos via evaporação e precipitação, ou seja, pelo ciclo
hidrológico, que depende de forças físicas as quais o homem nunca poderá interromper.
Enquanto existirem, o ciclo funcionará e os estoques de água doce nos continentes serão
repostos indefinidamente. 
      Obviamente que a água não se distribui equitativamente pelo planeta. Há regiões com
muita água, normalmente na zona tropical, na qual a evaporação é maior, e regiões
áridas, onde, por razões específicas da dinâmica climática, as taxas de evaporação são
maiores do que a precipitação, gerando déficit de reposição de estoques de água doce.
Disponível em: www.cartanaescola.com.br. Acesso em: 17 jan. 2015 (adaptado).
TEXTO II
O processo de sedimentação no fundo do lago de um reservatório é um processo
lento. Os sedimentos vão formando argila, que é uma rocha impermeável. Então, a água
daquele lago não vai alimentar os aquíferos. Mesmo tendo muita quantidade de água
superficial, ela não consegue penetrar no solo para alimentar os aquíferos. Se não for
usada no consumo, ela vai simplesmente evaporar e vai cair em outro lugar, levada pelas
correntes aéreas. Isso é outro motivo pelo qual os aquíferos não conseguem recuperar
seu nível, porque não recebem água.
Disponível em: www.jornalopcao.com.br. Acesso em: 17 jan. 2015 (adaptado).
Os textos I e II abordam a situação dos reservatórios de água doce do planeta.
Entretanto, a divergência entre eles está na ideia de que é possível",manter os estoques de água doce.,utilizar a água superficial para o consumo.,repor os estoques de água doce em regiões áridas.,reduzir as taxas de precipitação e evaporação da água.,"equalizar a distribuição de água doce nas diferentes regiões.
"
155,0,"Os linguistas têm notado a expansão do tratamento informal. “Tenho 78 anos e devia
ser tratado por senhor, mas meus alunos mais jovens me tratam por você”, diz o
professor Ataliba Castilho, aparentemente sem se incomodar com a informalidade,
inconcebível em seus tempos de estudante. O você, porém, não reinará sozinho. O tu
predomina em Porto Alegre e convive com o você no Rio de Janeiro e em Recife,
enquanto você é o tratamento predominante em São Paulo, Curitiba, Belo Horizonte e
Salvador. O tu já era mais próximo e menos formal que você nas quase 500 cartas do
acervo on-line de uma instituição universitária, quase todas de poetas, políticos e outras
personalidades do final do século XIX e início do XX.
Disponível em: http://revistapesquisa.fapesp.br. Acesso em: 21 abr. 2015 (adaptado).
No texto, constata-se que os usos de pronomes variaram ao longo do tempo e que
atualmente têm empregos diversos pelas regiões do Brasil. Esse processo revela que","a escolha de “você” ou de “tu” está condicionada à idade da pessoa que usa o
pronome.","a possibilidade de se usar tanto “tu” quanto “você” caracteriza a diversidade da
língua.",o pronome “tu” tem sido empregado em situações informais por todo o país.,"a ocorrência simultânea de “tu” e de “você” evidencia a inexistência da distinção
entre níveis de formalidade.","o emprego de “você” em documentos escritos demonstra que a língua tende a se
manter inalterada.
"
156,0,"O solo A morte do cisne, criado em 1905 pelo russo Mikhail Fokine a partir da música
do compositor francês Camille Saint-Saens, retrata o último voo de um cisne antes de
morrer. Na versão original, uma bailarina com figurino impecavelmente branco e na ponta
dos pés interpreta toda a agonia da ave se debatendo até desfalecer.
Em 2012, John Lennon da Silva, de 20 anos, morador do bairro de São Mateus, na
Zona Leste de São Paulo, elaborou um novo jeito de dançar a coreografia imortalizada
pela bailarina Anna Pavlova. No lugar de um colã e das sapatilhas, vestiu calça jeans,
camiseta e tênis. Em vez de balé, trouxe o estilo popping da street dance. Sua
apresentação inovadora de A morte do cisne, que foi ao ar no programa Se ela dança, eu
danço, virou hit no YouTube.
Disponível em: www.correiobraziliense.com.br. Acesso em: 18 jun. 2019 (adaptado).
A forma original de John Lennon da Silva reinterpretar a coreografia de A morte do cisne
demonstra que",a composição da coreografia foi influenciada pela escolha do figurino.,"a criação artística é beneficiada pelo encontro de modelos oriundos de diferentes
realidades socioculturais.","a variação entre os modos de dançar uma mesma música evidencia a hierarquia
que marca manifestações artísticas.","a formação erudita, à qual o dançarino não teve acesso, resulta em artistas que
só conhecem a estética da arte popular.","a interpretação, por homens, de coreografias originalmente concebidas para
mulheres exige uma adaptação complexa.
"
157,0,"Seus primeiros anos de detento foram difíceis; aos poucos entendeu como o sistema
funciona. Apanhou dezenas de vezes, teve o crânio esmagado, o maxilar deslocado,
braços e pernas quebrados; por fim, um dia ficou lesionado da perna quando foi jogado
da laje de um pavilhão. Nem todas as vezes ele soube por que apanhou, muito menos da
última, quando foi deixado para morrer, mas sobreviveu. Seu corpo, moído no inferno,
aguarda o fim dos seus dias. Já não questiona mais. Obedece. Cumpre as ordens. Baixa
a cabeça e se retira. Apanha, às vezes com motivo, às vezes sem. Por onde passou,
derramaram seu sangue. Seu rastro pode ser seguido. Intriga ter sobrevivido durante
tantos anos. Pouquíssimos chegaram à terceira idade encarcerados.
MAIA, A. P. Assim na terra como embaixo da terra. Rio de Janeiro: Record, 2017.
A narrativa concentra sua força expressiva no manejo de recursos formais e numa
representação ficcional que",buscam perpetuar visões do senso comum.,trazem à tona atitudes de um estado de exceção.,promovem a interlocução com grupos silenciados.,inspiram o sentimento de justiça por meio da empatia.,"recorrem ao absurdo como forma de traduzir a realidade.
"
158,0,"– O senhor pensa que só porque o deixaram morar neste país pode logo ir fazendo o
que quer? Nunca ouviu falar num troço chamado autoridades constituídas? Não sabe que
tem de conhecer as leis do país? Não sabe que existe uma coisa chamada Exército
Brasileiro, que o senhor tem de respeitar? Que negócio é esse? [...] Eu ensino o senhor a
cumprir a lei, ali no duro: “dura lex”! Seus filhos são uns moleques e outra vez que eu
souber que andaram incomodando o General, vai tudo em cana. Morou? Sei como tratar
gringos feito o senhor. [...] Foi então que a mulher do vizinho do General interveio: – Era
tudo que o senhor tinha a dizer a meu marido? O delegado apenas olhou-a, espantado
com o atrevimento. – Pois então fique sabendo que eu também sei tratar tipos como o
senhor. Meu marido não é gringo nem meus filhos são moleques. Se por acaso
importunaram o General, ele que viesse falar comigo, pois o senhor também está nos
importunando. E fique sabendo que sou brasileira, sou prima de um Major do Exército,
sobrinha de um Coronel, e filha de um General! Morou? Estarrecido, o delegado só teve
força para engolir em seco e balbuciar humildemente: – Da ativa, minha senhora?.
SABINO, F. A mulher do vizinho. In: Os melhores contos. Rio de Janeiro: Record, 1986.
A representação do discurso intimidador engendrada no fragmento é responsável por",ironizar atitudes e ideias xenofóbicas.,conferir à narrativa um tom anedótico.,dissimular o ponto de vista do narrador.,acentuar a hostilidade das personagens.,"exaltar relações de poder estereotipadas.
"
159,0,"Os velhos papéis, quando não são consumidos pelo fogo, às vezes acordam de seu
sono para contar notícias do passado.
É assim que se descobre algo novo de um nome antigo, sobre o qual já se julgava
saber tudo, como Machado de Assis.
Por exemplo, você provavelmente não sabe que o autor carioca, morto em 1908,
escreveu uma letra do hino nacional em 1867 — e não poderia saber mesmo, porque os
versos seguiam inéditos. Até hoje.
Essa letra acaba de ser descoberta, em um jornal antigo de Florianópolis, pelo
pesquisador independente Felipe Rissato.
“Das florestas em que habito/ Solto um canto varonil:/ Em honra e glória de Pedro/ O
gigante do Brasil”, diz o começo do hino, composto de sete estrofes em redondilhas
maiores, ou seja, versos de sete sílabas poéticas. O trecho também é o refrão da música.
O Pedro mencionado é o imperador Dom Pedro II. O bruxo do Cosme Velho compôs
a letra para o aniversário de 42 anos do monarca, em 2 de dezembro daquele ano — o
hino seria apresentado naquele dia no teatro da cidade de Desterro, antigo nome de
Florianópolis.
Disponível em: www.revistaprosaversoearte.com. Acesso em: 4 dez. 2018 (adaptado).
Considerando-se as operações de retomada de informações na estruturação do texto, há
interdependência entre as expressões",“Os velhos papéis” e “É assim”.,"“algo novo” e ""sobre o qual"".",“um nome antigo” e “Por exemplo”.,“O gigante do Brasil” e “O Pedro mencionado”.,"“o imperador Dom Pedro II” e “O bruxo do Cosme Velho”.
"
160,0,"RODRIGUES, S. Acervo pessoal.
 
   A revolução estética brasiliense empurrou os designers de móveis dos anos 1950 e
início dos 1960 para o novo. Induzidos a abandonar o gosto rebuscado pelo colonial, a
trocar Ouro Preto por Brasília, eles criaram um mobiliário contemporâneo que ainda hoje
vemos nas lojas e nas salas de espera de consultórios e escritórios. Colada no uso de
madeiras nobres, como o jacarandá e a peroba, e em materiais de revestimento como o
couro e a palhinha, desenvolveu-se uma tendência feita de linhas retas e curvas suaves,
nos moldes da capital no Cerrado.
CHAVES, D. Disponível em: www.veja.abril.com.br. Acesso em: 29 jul. 2010.
Na reportagem sobre os 50 anos de Brasília, de Débora Chaves, com a reprodução
fotográfica de cadeiras e poltronas de Sérgio Rodrigues, verifica-se que os elementos da
estética brasiliense",aparecem definidos nas linhas retas dos objetos.,expressam o desenho rebuscado por meio das linhas. ,mostram a expressão assimétrica das linhas curvas suaves.,apontam a unidade de matéria-prima utilizada em sua fabricação.,"surgem na simplificação das informações visuais de cada composição.
"
161,0,"Thumbs Up
Ponto positivo para o Facebook, que vai dar uma ajeitada na casa para, quem sabe,
não ser mais conhecido como o espaço da treta. Durante a F8, sua conferência anual, a
empresa anunciou a maior mudança de design do serviço em 5 anos. Agora, o polêmico
feed de notícias deixa de ser o protagonista, e o queridinho da rede social se torna o
segmento de Grupos (é o Orkut fazendo escola?). Segundo Mark Zuckerberg, mais de 1
bilhão de usuários mensais entram nessa aba do aplicativo, e 400 mil deles já estão
integrados em grupos de “assuntos significativos”. O objetivo agora é aumentar o tráfego,
oferecendo mais sugestões e ferramentas especiais para quem gerencia essas
comunidades.  Além disso, o Marketplace, que já tem mais de 800 milhões de usuários,
vai ganhar mais atenção e integração. Com isso, parece que há um novo padrão se
montando na rede social: sai o feed, entra a segmentação, que pode ser uma boa porta
para monetização nos próximos anos. No mesmo evento, Zuckerberg também disse que
o futuro do Facebook é a privacidade, mas não deu muitos detalhes de como vai proteger
seus clientes daqui para frente. Evitar que vazamentos de dados dos usuários aconteçam
é um bom começo.
#FicaaDica
Disponível em: https://thebrief.us16.list-manage.com. Acesso em: 3 maio 2019 (adaptado).
 
O texto relata que uma rede social virtual realizará sua maior mudança de design dos
últimos anos. Esse fato revela que as tecnologias de informação e comunicação",buscam oferecer mais privacidade.,assimilam os comportamentos dos usuários.,promovem maior interação em ambientes virtuais.,oferecem mais facilidades para obter cada vez mais lucro.,"evoluem para ficar mais parecidas umas com as outras.
"
162,0,"Reaprender a ler notícias
     Não dá mais para ler um jornal, revista ou assistir a um telejornal da mesma forma que
fazíamos até o surgimento da rede mundial de computadores. O Observatório da
Imprensa antecipou isso lá nos idos de 1996 quando cunhou o slogan “Você nunca mais
vai ler jornal do mesmo jeito”. De fato, hoje já não basta mais ler o que está escrito ou
falado para estar bem informado. É preciso conhecer as entrelinhas e saber que não há
objetividade e nem isenção absolutas, porque cada ser humano vê o mundo de uma
forma diferente. Ter um pé atrás passou a ser a regra básica número um de quem passa
os olhos por uma primeira página, capa de revista ou chamadas de um noticiário na TV. 
    Há uma diferença importante entre desconfiar de tudo e procurar ver o maior número
possível de lados de um mesmo fato, dado ou evento. Apenas desconfiar não resolve
porque se trata de uma atitude passiva. É claro, tudo começa com a dúvida, mas a partir
dela é necessário ser proativo, ou seja, investigar, estudar, procurar os elementos ocultos
que sempre existem numa notícia. No começo é um esforço solitário que pode se tornar
coletivo à medida que mais pessoas descobrem sua vulnerabilidade informativa.
Disponível em: www.observatoriodaimprensa.com.br. Acesso em: 30 set. 2015 (adaptado).
No texto, os argumentos apresentados permitem inferir que o objetivo do autor é
convencer os leitores a",buscarem fontes de informação comprometidas com a verdade.,privilegiarem notícias veiculadas em jornais de grande circulação.,adotarem uma postura crítica em relação às informações recebidas.,questionarem a prática jornalística anterior ao surgimento da internet.,"valorizarem reportagens redigidas com imparcialidade diante dos fatos.
"
163,0,"Não que Pelino fosse químico, longe disso; mas era sábio, era gramático. Ninguém
escrevia em Tubiacanga que não levasse bordoada do Capitão Pelino, e mesmo quando
se falava em algum homem notável lá no Rio, ele não deixava de dizer: “Não há dúvida! O
homem tem talento, mas escreve: ‘um outro’, ‘de resto’…” E contraía os lábios como se
tivesse engolido alguma cousa amarga.
Toda a vila de Tubiacanga acostumou-se a respeitar o solene Pelino, que corrigia e
emendava as maiores glórias nacionais. Um sábio…
Ao entardecer, depois de ler um pouco o Sotero, o Candido de Figueiredo ou o
Castro Lopes, e de ter passado mais uma vez a tintura nos cabelos, o velho
mestre-escola saía vagarosamente de casa, muito abotoado no seu paletó de brim
mineiro, e encaminhava-se para a botica do Bastos a dar dous dedos de prosa.
Conversar é um modo de dizer, porque era Pelino avaro de palavras, limitando-se
tão-somente a ouvir. Quando, porém, dos lábios de alguém escapava a menor incorreção
de linguagem, intervinha e emendava. “Eu asseguro, dizia o agente do Correio, que…”
Por aí, o mestre-escola intervinha com mansuetude evangélica: “Não diga ‘asseguro’,
Senhor Bernardes; em português é garanto”.
E a conversa continuava depois da emenda, para ser de novo interrompida por uma
outra. Por essas e outras, houve muitos palestradores que se afastaram, mas Pelino,
indiferente, seguro dos seus deveres, continuava o seu apostolado de vernaculismo.
BARRETO, L. A Nova Califórnia. Disponível em: www.dominiopublico.gov.br. Acesso em: 24 jul. 2019.
Do  ponto  de  vista  linguístico,  a  defesa  da  norma-padrão  pelo  personagem 
caracteriza-se  por",contestar o ensino de regras em detrimento do conteúdo das informações.,resgatar valores patrióticos relacionados às tradições da língua portuguesa.,adotar uma perspectiva complacente em relação aos desvios gramaticais.,invalidar os usos da língua pautados pelos preceitos da gramática normativa.,"desconsiderar diferentes níveis de formalidade nas situações de comunicação.
"
164,0,"O skate apareceu como forma de vivência no lazer em períodos de baixa nas ondas
e ficou conhecido como “surfinho”. No início foram utilizados eixos e rodinhas de patins
pregados numa madeira qualquer, para sua composição, sendo as rodas de borracha ou
ferro. O grande marco na história do skate ocorreu em 1974, quando o engenheiro
químico chamado Frank Nasworthy descobriu o uretano, material mais flexível, que
oferecia mais aderência às rodas. A dependência dos skatistas em relação a esse novo
material igualmente alavancou o surgimento de novas manobras e possibilitou a um maior
número de pessoas inexperientes começar a prática dessa modalidade. O resultado foi a
criação de campeonatos, marcas, fábricas e lojas especializadas.
ARMBRUST, I.; LAURO, F. A. A. O skate e suas possibilidades educacionais. 
Motriz, jul.-set. 2010 (adaptado).
De acordo com o texto, diversos fatores ao longo do tempo",contribuíram para a democratização do skate.,evidenciaram as demandas comerciais dos skatistas.,definiram a carreira de skatista profissional.,permitiram que a prática social do skate substituísse o surfe.,"indicaram a autonomia dos praticantes de skate.
"
165,0,"Estojo escolar
Rio de Janeiro — Noite dessas, ciscando num desses canais a cabo, vi uns caras
oferecendo maravilhas eletrônicas, bastava telefonar e eu receberia um notebook capaz
de me ajudar a fabricar um navio, uma estação espacial.
[…] Como pretendo viajar esses dias, habilitei-me a comprar aquilo que os caras
anunciavam como o top do top em matéria de computador portátil.
No sábado, recebi um embrulho complicado que necessitava de um manual de
instruções para ser aberto.
[…] De repente, como vem acontecendo nos últimos tempos, houve um corte na
memória e vi diante de mim o meu primeiro estojo escolar. Tinha 5 anos e ia para o jardim
de infância.
Era uma caixinha comprida, envernizada, com uma tampa que corria nas bordas do
corpo principal. Dentro, arrumados em divisões, havia lápis coloridos, um apontador, uma
lapiseira cromada, uma régua de 20 cm e uma borracha para apagar meus erros.
[…] Da caixinha vinha um cheiro gostoso, cheiro que nunca esqueci e que me
tonteava de prazer. […]
O notebook que agora abro é negro e, em matéria de cheiro, é abominável. Cheira
vilmente a telefone celular, a cabine de avião, a aparelho de ultrassonografia onde outro
dia uma moça veio ver como sou por dentro. Acho que piorei de estojo e de vida.
CONY, C. H. Crônicas para ler na escola. São Paulo: Objetiva, 2009 (adaptado).
No texto, há marcas da função da linguagem que nele predomina. Essas marcas são
responsáveis por colocar em foco o(a)","mensagem, elevando-a à categoria de objeto estético do mundo das artes.","código, transformando a linguagem utilizada no texto na própria temática
abordada.","contexto, fazendo das informações presentes no texto seu aspecto essencial.","enunciador, buscando expressar sua atitude em relação ao conteúdo do
enunciado.","interlocutor, considerando-o responsável pelo direcionamento dado à narrativa
pelo enunciador.
"
166,0,"LEMOS, A. Artistas brasileiras. Belo Horizonte: Miguilim, 2018.
O que assegura o reconhecimento desse texto em quadrinhos como prefácio é o(a)",função de apresentação do livro.,apelo emocional apoiado nas imagens.,descrição do processo criativo da autora.,referência à mescla dos trabalhos manual e digital.,"uso de elementos gráficos voltados para o público-alvo.
"
167,0,"Disponível em: https://g1.globo.com. Acesso em: 18 jun. 2019 (adaptado).
No texto, os recursos verbais e não verbais empregados têm por objetivo","divulgar informações científicas sobre o uso indiscriminado de aparelhos
celulares.","influenciar o leitor a mudar atitudes e hábitos considerados prejudiciais às
crianças.","relacionar o uso da tecnologia aos efeitos decorrentes da falta de exercícios
físicos.","indicar medidas eficazes para desestimular a utilização de telefones pelo público
infantil.","sugerir aos pais e responsáveis a substituição de dispositivos móveis por
atividades lúdicas.
"
168,0,"Singular ocorrência
— Há ocorrências bem singulares. Está vendo aquela dama que vai entrando na igreja
da Cruz? Parou agora no adro para dar uma esmola.
— De preto?
— Justamente; lá vai entrando; entrou.
— Não ponha mais na carta. Esse olhar está dizendo que a dama é uma recordação
de outro tempo, e não há de ser muito tempo, a julgar pelo corpo: é moça de truz.
— Deve ter quarenta e seis anos.
— Ah! conservada. Vamos lá; deixe de olhar para o chão e conte-me tudo. Está viúva,
naturalmente?
— Não.
— Bem; o marido ainda vive. É velho?
— Não é casada.
— Solteira?
— Assim, assim. Deve chamar-se hoje D. Maria de tal. Em 1860 florescia com o nome
familiar de Marocas. Não era costureira, nem proprietária, nem mestra de meninas; vá
excluindo as profissões e chegará lá. Morava na Rua do Sacramento. Já então era
esbelta, e, seguramente, mais linda do que hoje; modos sérios, linguagem limpa.
ASSIS, M. Machado de Assis: seus 30 melhores contos. Rio de Janeiro: Aguilar, 1961.
No diálogo, descortinam-se aspectos da condição da mulher em meados do século XIX.
O ponto de vista dos personagens manifesta conceitos segundo os quais a mulher",encontra um modo de dignificar-se na prática da caridade.,preserva a aparência jovem conforme seu estilo de vida.,condiciona seu bem-estar à estabilidade do casamento.,tem sua identidade e seu lugar referendados pelo homem.,"renuncia à sua participação no mercado de trabalho.
"
169,0,"TEXTO I
HAZOUMÉ, R. Nanawax. Plástico e tecido. Galerie Gagosian, 2009.
Disponível em: www.actuart.org. Acesso em: 19 jun. 2019.
TEXTO II
As máscaras não foram feitas para serem usadas; elas se concentram apenas nas
possibilidades antropomórficas dos recipientes plásticos descartados e, ao mesmo tempo,
chamam a atenção para a quantidade de lixo que se acumula em quase todas as cidades
ou aldeias africanas.
FARTHING, S. Tudo sobre arte. Rio de Janeiro: Sextante, 2011 (adaptado).
Romuald Hazoumé costuma dizer que sua obra apenas manda de volta ao oeste o refugo
de uma sociedade de consumo cada vez mais invasiva. A obra desse artista africano que
vive no Benin denota o(a)",empobrecimento do valor artístico pela combinação de diferentes matérias-primas.,reposicionamento estético de objetos por meio da mudança de função.,convite aos espectadores para interagir e completar obras inacabadas.,militância com temas da ecologia que marcam o continente africano.,"realidade precária de suas condições de produção artística.
"
170,0,"Comportamento geral
Você deve estampar sempre um ar de alegria 
E dizer: tudo tem melhorado 
Você deve rezar pelo bem do patrão 
E esquecer que está desempregado
Você merece 
Você merece 
Tudo vai bem, tudo legal 
Cerveja, samba, e amanhã, seu Zé 
Se acabarem com teu carnaval
Você deve aprender a baixar a cabeça 
E dizer sempre: muito obrigado 
São palavras que ainda te deixam dizer 
Por ser homem bem disciplinado
Deve pois só fazer pelo bem da nação 
Tudo aquilo que for ordenado
Pra ganhar um fuscão no juízo final 
E diploma de bem-comportado
GONZAGUINHA. Luiz Gonzaga Jr. Rio de Janeiro: Odeon, 1973 (fragmento).
Pela análise do tema e dos procedimentos argumentativos utilizados na letra da canção
composta por Gonzaguinha na década de 1970, infere-se o objetivo de",ironizar a incorporação de ideias e atitudes conformistas.,convencer o público sobre a importância dos deveres cívicos.,relacionar o discurso religioso à resolução de problemas sociais.,questionar o valor atribuído pela população às festas populares.,"defender uma postura coletiva indiferente aos valores dominantes.
"
171,0,"Se for possível, manda-me dizer: 
— É lua cheia. A casa está vazia — 
Manda-me dizer, e o paraíso 
Há de ficar mais perto, e mais recente 
Me há de parecer teu rosto incerto. 
Manda-me buscar se tens o dia 
Tão longo como a noite. Se é verdade 
Que sem mim só vês monotonia. 
E se te lembras do brilho das marés 
De alguns peixes rosados 
Numas águas 
E dos meus pés molhados, manda-me dizer: 
— É lua nova — 
E revestida de luz te volto a ver.
 
HILST, H. Júbilo, memória, noviciado da paixão. São Paulo: Cia. das Letras, 2018.
Falando ao outro, o eu lírico revela-se vocalizando um desejo que remete ao",ceticismo quanto à possibilidade do reencontro.,tédio provocado pela distância física do ser amado.,sonho de autorrealização desenhado pela memória.,julgamento implícito das atitudes de quem se afasta.,"questionamento sobre o significado do amor ausente.
"
172,0,"Falso moralista
Você condena o que a moçada anda fazendo 
e não aceita o teatro de revista 
arte moderna pra você não vale nada 
e até vedete você diz não ser artista 
Você se julga um tanto bom e até perfeito 
Por qualquer coisa deita logo falação 
Mas eu conheço bem o seu defeito 
e não vou fazer segredo não 
Você é visto toda sexta no Joá 
e não é só no Carnaval que vai pros bailes se acabar 
Fim de semana você deixa a companheira 
e no bar com os amigos bebe bem a noite inteira 
Segunda-feira chega na repartição 
pede dispensa para ir ao oculista 
e vai curar sua ressaca simplesmente 
Você não passa de um falso moralista 
 
NELSON SARGENTO. Sonho de um sambista. São Paulo: Eldorado, 1979.
As letras de samba normalmente se caracterizam por apresentarem marcas informais do
uso da língua. Nessa letra de Nelson Sargento, são exemplos dessas marcas",“falação” e “pros bailes”.,“você” e “teatro de revista”.,“perfeito” e “Carnaval”.,“bebe bem” e “oculista”.,"“curar” e “falso moralista”.
"
173,0,"Introdução a Alda
Dizem que ninguém mais a ama. Dizem que foi uma boa pessoa. Sua filha de doze
anos não a visita nunca e talvez raramente se lembre dela. Puseram-na numa cidade
triste de uniformes azuis e jalecos brancos, de onde não pôde mais sair. Lá, todos
gritam-lhe irritados, mal se aproxima, ou lhe batem, como se faz com sacos de areia para
treinar os músculos.
Sei que para todos ela já não é, e ninguém lhe daria uma maçã cheirosa, bem
vermelha. Mas não é verdade que alguém não a possa mais amar. Eu amo-a. Amo-a
quando a vejo por trás das grades de um palácio, onde se refugiou princesa, chegada
pelos caminhos da dor. Quando fora do reino sente o mundo de mil lanças, e selvagem
prepara-se, posta no olhar. Amo-a quando criança brinca na areia sem medo. Uns pés
descalços, uma mulher sem intenções. Cercada de mundo, às vezes sofrendo-o ainda.
CANÇADO, M. L. O sofredor do ver. Belo Horizonte: Autêntica, 2015.
Ao descrever uma mulher internada em um hospital psiquiátrico, o narrador compõe um
quadro que expressa sua percepção",irônica quanto aos efeitos do abandono familiar.,resignada em face dos métodos terapêuticos em vigor.,alimentada pela imersão lírica no espaço da segregação.,inspirada pelo universo pouco conhecido da mente humana.,"demarcada por uma linguagem alinhada à busca da lucidez.
"
174,0,"O pavão vermelho
Ora, a alegria, este pavão vermelho, 
está morando em meu quintal agora. 
Vem pousar como um sol em meu joelho 
quando é estridente em meu quintal a aurora.
Clarim de lacre, este pavão vermelho 
sobrepuja os pavões que estão lá fora. 
É uma festa de púrpura. E o assemelho 
a uma chama do lábaro da aurora.
É o próprio doge a se mirar no espelho. 
E a cor vermelha chega a ser sonora 
neste pavão pomposo e de chavelho.
Pavões lilases possuí outrora. 
Depois que amei este pavão vermelho, 
os meus outros pavões foram-se embora.
Costa, S. Poesia completa: Sosígenes Costa. Salvador: Conselho Estadual de Cultura, 2001.
Na construção do soneto, as cores representam um recurso poético que configura uma
imagem com a qual o eu lírico",revela a intenção de isolar-se em seu espaço.,simboliza a beleza e o esplendor da natureza.,experimenta a fusão de percepções sensoriais. ,metaforiza a conquista de sua plena realização.,"expressa uma visão de mundo mística e espiritualizada.  
"
175,0,"LICHTENSTEIN, R. Garota com bola. Óleo sobre tela, 153 cm x 91,9 cm. 
Museu de Arte Moderna de Nova York, 1961.
Disponível em: www.moma.org. Acesso em: 4 dez. 2018.
A obra, da década de 1960, pertencente ao movimento artístico Pop Art, explora a beleza
e a sensualidade do corpo feminino em uma situação de divertimento. Historicamente, a
sociedade inventou e continua reinventando o corpo como objeto de intervenções sociais,
buscando atender aos valores e costumes de cada época. Na reprodução desses
preceitos, a erotização do corpo feminino tem sido constituída pela",realização de exercícios físicos sistemáticos e excessivos.,utilização de medicamentos e produtos estéticos.,"educação do gesto, da vontade e do comportamento.",construção de espaços para vivência de práticas corporais.,"promoção de novas experiências de movimento humano no lazer.
"
176,0,"D’SALETE, M. Cumbe. São Paulo: Veneta, 2018, p. 10-11 (adaptado).
A sequência dos quadrinhos conjuga lirismo e violência ao",sugerir a impossibilidade de manutenção dos afetos.,revelar os corpos marcados pela brutalidade colonial.,representar o abatimento diante da desumanidade vivida.,acentuar a resistência identitária dos povos escravizados.,"expor os sujeitos alijados de sua ancestralidade pelo exílio.
"
177,0,"Naquele tempo, Itaguaí, que, como as demais vilas, arraiais e povoações da colônia,
não dispunha de imprensa, tinha dois modos de divulgar uma notícia; ou por meio de
cartazes manuscritos e pregados na porta da Câmara, e da matriz; — ou por meio de
matraca. 
     Eis em que consistia este segundo uso. Contratava-se um homem, por um ou mais
dias, para andar as ruas do povoado, com uma matraca na mão. De quando em quando
tocava a matraca, reunia-se gente, e ele anunciava o que lhe incumbiam, — um remédio
para sezões, umas terras lavradias, um soneto, um donativo eclesiástico, a melhor
tesoura da vila, o mais belo discurso do ano, etc. O sistema tinha inconvenientes para a
paz pública; mas era conservado pela grande energia de divulgação que possuía. Por
exemplo, um dos vereadores desfrutava a reputação de perfeito educador de cobras e
macacos, e aliás nunca domesticara um só desses bichos; mas tinha o cuidado de fazer
trabalhar a matraca todos os meses. E dizem as crônicas que algumas pessoas
afirmavam ter visto cascavéis dançando no peito do vereador; afirmação perfeitamente
falsa, mas só devida à absoluta confiança no sistema. Verdade, verdade, nem todas as
instituições do antigo regímen mereciam o desprezo do nosso século.
ASSIS, M. O alienista. Disponível em: www.dominiopubico.gov.br. Acesso em: 2 jun. 2019 (adaptado).
O fragmento faz uma referência irônica a formas de divulgação e circulação de
informações em uma localidade sem imprensa. Ao destacar a confiança da população no
sistema da matraca, o narrador associa esse recurso à disseminação de",campanhas políticas.,anúncios publicitários.,notícias de apelo popular.,informações não fidedignas.,"serviços de utilidade pública.
"
